date,show_name,url,name,image_url,address,business_hours,telephone
2021/04/09,熱血48小時,https://supertaste.tvbs.com.tw/review/329698,滬舍餘味 ,https://cc.tvbs.com.tw/img/program/upload/2021/04/09/20210409103157-d98c3d32.jpg,台中市南屯區公益路二段537號,週一至日11：00～20：30,04-2258-6111
2021/04/13,魚肉鄉民,https://supertaste.tvbs.com.tw/review/329742,WIP GARAGE/COFFEE,https://cc.tvbs.com.tw/img/program/upload/2021/04/13/20210413115042-c0785cd0.jpg,台中市西屯區環中路3段768號之1,週一至日13：00～22：00,
2021/04/13,魚肉鄉民,https://supertaste.tvbs.com.tw/review/329753,溫叨古早味料理餐廳,https://cc.tvbs.com.tw/img/program/upload/2020/08/26/20200826173237-35f0a47c.jpg,台中市北屯區太原路三段191號,週一至日11：00～14：00、17：00～22：00,04-2231-1699
2021/04/14,2天1夜go,https://supertaste.tvbs.com.tw/review/329761,傳承蒜味肉羹,https://cc.tvbs.com.tw/img/program/upload/2021/04/14/20210414103012-2020b12c.jpg,宜蘭縣宜蘭市舊城北路148號,週一至日09：30～19：30,
2021/04/08,瘋狂總部,https://supertaste.tvbs.com.tw/review/329674,臺灣眷村文化園區—將軍好宅,https://cc.tvbs.com.tw/img/program/upload/2021/04/08/20210408104606-2b228909.jpg,高雄市左營區明德新村5號,週二至五10：00～17：00／週六、日10：00～18：00（週一休）,07-581-2886
2021/04/09,熱血48小時,https://supertaste.tvbs.com.tw/review/329695,中華臭豆腐蚵仔煎,https://cc.tvbs.com.tw/img/program/upload/2021/04/09/20210409100700-65bd5503.jpg,台中市中區台灣大道一段555號（台灣大哥大前面）,週一至日20：00～凌晨03：00（週三休）,
2021/04/09,熱血48小時,https://supertaste.tvbs.com.tw/review/329698,Gubami,https://cc.tvbs.com.tw/img/program/upload/2021/04/09/20210409102942-e7810318.jpg,台中市西區存中街46號,週一至日11：30～14：30、18：00～21：00（週三休）,04-2376-3801
2021/04/13,魚肉鄉民,https://supertaste.tvbs.com.tw/review/329753,春山相館,https://cc.tvbs.com.tw/img/program/upload/2021/04/13/20210413165339-5e6ce921.jpg,台中市北區精武路320-10號,週一至日11：30～19：00（週二、三休）,04-2225-2666
2021/04/14,2天1夜go,https://supertaste.tvbs.com.tw/review/329761,真實小籠包,https://cc.tvbs.com.tw/img/program/upload/2021/04/14/20210414103007-5cc71080.jpg,宜蘭縣宜蘭市中山路二段366號,週一至六11：00～19：00（週日休）,03-931-3061
2021/04/08,瘋狂總部,https://supertaste.tvbs.com.tw/review/329674,小團圓中式料理,https://cc.tvbs.com.tw/img/program/upload/2021/04/08/20210408105651-2af3fdbf.jpg,高雄市左營區忠言路52號,週一至日11：00～14：30、17：30～21：00（店家公休日詳見臉書粉絲專頁）,07-556-8861
2021/04/09,熱血48小時,https://supertaste.tvbs.com.tw/review/329695,蘇 台南米糕,https://cc.tvbs.com.tw/img/program/upload/2021/04/09/20210409100734-99fc7b51.jpg,台中市中區中華路一段99-1號（日新戲院斜對面）,週一至日18：00～凌晨02：00,
